"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1995-11-12 11 15 12 1995 142195.066714286 988003.230841571 203398.17828539 142195.066714286 741524.49172857
1995-11-19 11 16 19 1995 171637.7166 1773441.49268867 112072.351336105 171637.7166 872520.878757146
1995-11-26 11 17 26 1995 228940.206171429 1899780.29444639 991484.6484426 228940.206171429 1735596.73535715
1995-12-03 12 18 3 1995 224933.593885714 561375.383814292 1022300 224933.593885714 1529522.04837118
1995-12-10 12 19 10 1995 217914.0885 1426399.51220405 1022300 217914.0885 1187811.85481429
1995-12-17 12 20 17 1995 196585.820228572 1784711.5083888 1022300 196585.820228571 1151849.65419013
1995-12-24 12 21 24 1995 164860.194728571 2045375.71114519 1022300 164860.194728571 913336.023285861
1995-12-31 12 22 31 1995 185418.876085714 1420979.09033068 1022300 185418.876085714 974343.954148474
1996-01-07 1 23 7 1996 344523.689042857 807390.397224677 835300 294523.689042857 1258343.15947645
1996-01-14 1 24 14 1996 392751.796828571 921271.329444332 835300 342751.796828571 1253667.26400258
1996-01-21 1 25 21 1996 384655.266457143 1125253.8730739 812670.113180313 334655.266457143 1081817.53361629
1996-01-28 1 26 28 1996 411204.031528571 1119602.78559205 791300 361204.031528571 940131.559591396
1996-02-04 2 27 4 1996 473467.183142857 628939.787292087 599300 423467.183142857 1798282.06553541
1996-02-11 2 28 11 1996 526857.840471429 765645.253946429 599300 476857.840471429 2151960.18052857
1996-02-18 2 29 18 1996 562792.392342857 764623.766160715 599300 512792.392342857 1803925.4159
1996-02-25 2 30 25 1996 708627.129128571 765047.659944769 599300 658627.129128571 1290519.62288763
1996-03-03 3 31 3 1996 556197.349842858 825419.148460714 0 506197.349842858 1638368.95581429
1996-03-10 3 32 10 1996 637089.104842857 3568797.99877239 0 593339.104842857 1385375.12044285
1996-03-17 3 33 17 1996 739636.561171429 3187958.45206819 0 695886.561171429 1151555.70941785
1996-03-24 3 34 24 1996 878340.718171429 3042127.06755831 0 834590.718171429 1020305.13073978
1996-03-31 3 35 31 1996 735915.568771429 3064805.35690097 0 692165.568771429 964241.898520289
1996-04-07 4 36 7 1996 796176.734214286 1604988.84251786 0 742426.734214286 1838410.64421137
1996-04-14 4 37 14 1996 842804.2632 3304719.33331849 0 789054.2632 2599353.10184496
1996-04-21 4 38 21 1996 913253.118757143 3667613.1561 0 859503.118757143 2889905.31784286
1996-04-28 4 39 28 1996 742543.749428571 2910779.97136428 0 688793.749428571 2294422.57514286
